uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
101289087265,YellowDude,YellowDude,是,1248350,"'1-20s视频': 50000, '20-60s视频': 50000",1047024.0
2049083474457133,鹤老师说经济,helaoshi45,是,3808969,"'1-20s视频': 50000, '20-60s视频': 56000",574714.0
2845154794018627,《我的白大褂》,dyh00bj31zom,否,2525414,,
1341043176898839,任志宏,renzhihongvoice,否,2599354,,
97733617264,优酷我爱剧透,877989876,是,3537377,"'1-20s视频': 9000, '20-60s视频': 11000",155382.0
2141481955501687,神兜兜的超级奶爸,DouChenXi,是,1835396,"'1-20s视频': 50000, '20-60s视频': 50000",279475.0
57363775562,老白不喝酒G.E.D&G-end,250up,否,1316929,,
93045887549,韩景枫51KING,hanjingfeng51K,是,702113,"'1-20s视频': 20000, '20-60s视频': 50000",386930.0
1793999883739472,氪财经,36krcaijing,否,1455780,,
3403716762801123,古墓派,YK_Tomb,否,3320220,,
57833035660,尊宝爸爸,zunbaobaba,是,14342168,"'1-20s视频': 120000, '20-60s视频': 150000",718805.0
101696974682,人民日报国际,lingshicha6536,否,2960934,,
63866827689,吉利汽车,GEELY1760,否,1113732,,
102700720681,林一,linyi201,是,5391885,"'1-20s视频': 70000, '20-60s视频': 90000",1373980.0
105120864624,爱车的大杨,car0471,是,2627838,"'1-20s视频': 20000, '20-60s视频': 40000",191938.0
73108571191,唐山汇海名车,haiyuezhuanshu,否,578489,,
4446026495432088,财新FM,caixinfm,否,1335078,,
92826097922,天津一家人,345184175,是,28097371,"'1-20s视频': 411500, '20-60s视频': 699999",11893798.0
61176912743,辣目洋子,lamuyangzi,是,8170155,"'1-20s视频': 212000, '20-60s视频': 318000",2377785.0
96149919586,疯产姐妹,857857xdl,是,28839850,"'1-20s视频': 450000, '20-60s视频': 450000",62874242.0
55797245860,青春湖北,qingchunhubei,否,2478445,,
105885669105,飓风出行,JFchuxing,是,1774841,"'1-20s视频': 1500, '20-60s视频': 40000",66638.0
109762236315,家有懂车妹,1897182926,是,6435394,"'1-20s视频': 120000, '20-60s视频': 130000",463370.0
58824814341,北京中盛名车,liu.xiao,否,369410,,
110015378154,阿强美食分享,2099693169,是,10597079,"'1-20s视频': 50000, '20-60s视频': 80000",463069.0
111607649295,Hello佟丽娅,,否,3591205,,
86147543360,CCTV4中国文艺,zhongguowenyi,否,3400007,,
87829618983,辛巴,XYZI818,否,3547153,,
64555424400,小晨,w543749653,是,2472069,"'1-20s视频': 35000, '20-60s视频': 45000",22861.0
62574470075,稻草放毒（国产好虾 正在直播）,,否,4820792,,
85053271329,创阅读书会精选,802018433,是,1490139,"'1-20s视频': 20000, '20-60s视频': 25000",13424.0
3474066514647534,豪宅先生,hzsir.,是,2392624,"'1-20s视频': 40000, '20-60s视频': 60000",374916.0
1393815986907837,彬彬车行,2243009293,是,2447637,"'1-20s视频': 15000, '20-60s视频': 20000",475526.0
97512762413,樊少皇,LF678678678678,否,2612107,,
64313094657,路人王篮球,LRW160809,是,5478610,"'1-20s视频': 79999, '20-60s视频': 100000",730334.0
61881122643,冷少,24003600,是,4219165,"'1-20s视频': 35000, '20-60s视频': 50000",1376331.0
96143493570,大鹏董成鹏,Dapeng0112,否,3123351,,
96002438550,林俊杰,drifterjjlin,否,3276029,,
84762447142,锋味,,否,1864545,,
98043129125,豫视频,yushipin8347,是,6551148,"'1-20s视频': 10900, '20-60s视频': 10000",498590.0
927632959221543,闲白话·闲哥,3D94,是,2070427,"'1-20s视频': 8000, '20-60s视频': 10000",354174.0
1499373180563716,大诗小歌,lisi.boy,是,3646676,"'1-20s视频': 28500, '20-60s视频': 30000",3521356.0
62019499885,爆笑三江锅,Sanjiangguo,是,13577556,"'1-20s视频': 60000, '20-60s视频': 80000",3413937.0
105957543188,三峡商报,sxsb6459110,是,3868854,"'1-20s视频': 5000, '20-60s视频': 8000",371094.0
97204287630,楚天交通广播,luke9271078,是,9055696,"'1-20s视频': 5000, '20-60s视频': 6000",115627.0
97705910620,小野酱在日本,woow720,是,2255823,"'1-20s视频': 50000, '20-60s视频': 50000",961846.0
4164574684912653,姿势Go,zhishigo,是,2136977,"'1-20s视频': 7000, '20-60s视频': 8000",220252.0
95422937746,王力宏,,否,3670822,,
1138728598503979,辽台《娱乐小甜饼》,LRTV1111,是,5601340,"'1-20s视频': 13500, '20-60s视频': 13500",685159.0
74421393561,铁豆,tiedou666666,是,3581382,"'1-20s视频': 82000, '20-60s视频': 95000",661348.0
99838855780,优酷娱乐,1029922846,是,4139786,"'1-20s视频': 10000, '20-60s视频': 12000",120061.0
